Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
8669,8669,382153903.jpg#0r1e,entailment,A woman wearing a blue hairnet and apron talks over her shoulder as she grasps a plastic pitcher.,A woman is wearing a hairnet.,Blue hairnet is a type of hairnet., A woman wearing a *blue* *hairnet* and apron talks over her shoulder as she grasps a plastic pitcher., A woman is wearing a *hairnet.*,Sentence 2 is a simplification of sentence 1 but leaves out many details other than there is a woman in a hairnet., A *woman* wearing a blue *hairnet* and apron talks over her shoulder as she grasps a plastic pitcher., A *woman* is wearing a *hairnet.*,The woman is wearing a blue hairnet., A *woman* *wearing* a *blue* *hairnet* and apron talks over her shoulder as she grasps a plastic pitcher., A *woman* is *wearing* a *hairnet.*,"['blue', 'hairnet']",['hairnet.'],"['woman', 'hairnet']","['woman', 'hairnet.']","['woman', 'wearing', 'blue', 'hairnet']","['woman', 'wearing', 'hairnet.']",classification,1
8684,8684,6208991202.jpg#1r1e,entailment,Two men making dance moves as a woman films the event in the living room of a house or apartment.,The men are moving.,Making dance moves requires implies that one is moving., Two men *making* *dance* *moves* as a woman films the event in the living room of a house or apartment., The men are *moving.*,"dancing is a form of movement, the men are making dance moves so this indicates they are moving.", Two men *making* *dance* *moves* as a woman films the event in the living room of a house or apartment., The men are *moving.*,Two men comes under the men category as they make dance moving., *Two* *men* *making* *dance* *moves* as a woman films the event in the living room of a house or apartment., *The* *men* are *moving.*,"['making', 'dance', 'moves']",['moving.'],"['making', 'dance', 'moves']",['moving.'],"['Two', 'men', 'making', 'dance', 'moves']","['The', 'men', 'moving.']",classification,2
8705,8705,132056499.jpg#3r1e,entailment,A maintenance worker walking past a statue.,worker walking by a statue,Walking past a statue is the same thing as walking by a statue., A maintenance worker walking *past* a statue., worker walking *by* a statue,"Maintenance worker is a type of worker, and walking past means walking by.", A *maintenance* *worker* *walking* *past* a statue., *worker* *walking* *by* a statue,A maintenance person walking past a statue., A *maintenance* *worker* *walking* *past* a statue., *worker* walking by a *statue*,['past'],['by'],"['maintenance', 'worker', 'walking', 'past']","['worker', 'walking', 'by']","['maintenance', 'worker', 'walking', 'past']","['worker', 'statue']",classification,2
8708,8708,5196768578.jpg#1r1e,entailment,A very young child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.,A child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.,"""A very young child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow"" is a rephrase of "" A child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.""", *A* *very* *young* *child* *in* *a* *red* *plaid* *coat* *and* *pink* *winter* *hat* *makes* *a* *snowball* *in* *a* *large* *pile* *of* *snow.*, *A* *child* *in* *a* *red* *plaid* *coat* *and* *pink* *winter* *hat* *makes* *a* *snowball* *in* *a* *large* *pile* *of* *snow.*,A very young child is the same as a child., A *very* *young* *child* in a red plaid coat and pink winter hat makes a snowball in a large pile of snow., A *child* in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.,A very young child is a type of child., A *very* *young* *child* in a red plaid coat and pink winter hat makes a snowball in a large pile of snow., A *child* in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.,"['A', 'very', 'young', 'child', 'in', 'a', 'red', 'plaid', 'coat', 'and', 'pink', 'winter', 'hat', 'makes', 'a', 'snowball', 'in', 'a', 'large', 'pile', 'of', 'snow.']","['A', 'child', 'in', 'a', 'red', 'plaid', 'coat', 'and', 'pink', 'winter', 'hat', 'makes', 'a', 'snowball', 'in', 'a', 'large', 'pile', 'of', 'snow.']","['very', 'young', 'child']",['child'],"['very', 'young', 'child']",['child'],classification,3
8709,8709,5196768578.jpg#1r1n,entailment,A very young child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.,A very young child in a red plaid coat and pink winter hat makes a snowball.,"There must be snow to make a snowball with, and a large pile of snow is a likely place to make a snowball.", A very young child in a red plaid coat and pink winter hat *makes* *a* *snowball* *in* *a* *large* *pile* *of* *snow.*, A very young child in a red plaid coat and pink winter hat *makes* *a* *snowball.*,A very young child in a red plaid coat is a type of very young child., A *very* *young* *child* *in* *a* *red* *plaid* *coat* and pink winter hat makes a snowball in a large pile of snow., A *very* *young* *child* in a red plaid coat and pink winter hat makes a snowball.,"""A very young child in a red plaid coat and pink winter hat makes a snowball."" reiterates ""A very young child in a red plaid coat and pink winter hat makes a snowball in a large pile of snow.""", A very young *child* in a red plaid *coat* and pink winter *hat* makes a *snowball* in a large pile of snow., A very young *child* in a red plaid *coat* and pink winter *hat* makes a *snowball.*,"['makes', 'a', 'snowball', 'in', 'a', 'large', 'pile', 'of', 'snow.']","['makes', 'a', 'snowball.']","['very', 'young', 'child', 'in', 'a', 'red', 'plaid', 'coat']","['very', 'young', 'child']","['child', 'coat', 'hat', 'snowball']","['child', 'coat', 'hat', 'snowball.']",classification,2
8719,8719,5523001543.jpg#1r1e,entailment,"A man wearing a black jacket plays on his smartphone, while the little girl next to him wearing a scarf and blue jacket reads a book.",The man is using his phone.,plays on his smartphone is the same as using his phone.," A man wearing a black jacket *plays* *on* *his* *smartphone,* while the little girl next to him wearing a scarf and blue jacket reads a book.", The man is *using* *his* *phone.*,"Smartphone is a type of phone, and plays implies using."," A man wearing a black jacket *plays* on his *smartphone,* while the little girl next to him wearing a scarf and blue jacket reads a book.", The man is *using* his *phone.*,A man plays on his smartphone requires using his phone.," A man wearing a black jacket *plays* *on* *his* *smartphone,* while the little girl next to him wearing a scarf and blue jacket reads a book.", The man is *using* *his* *phone.*,"['plays', 'on', 'his', 'smartphone']","['using', 'his', 'phone.']","['plays', 'smartphone']","['using', 'phone.']","['plays', 'on', 'his', 'smartphone']","['using', 'his', 'phone.']",classification,2
8720,8720,2320420111.jpg#1r1e,entailment,A man in a bicycle is passing through a house with blue doors.,A man is on a bike.,A man on a bike is passing through a house., A man in a bicycle is *passing* *through* a *house* with blue doors., A *man* is *on* *a* *bike.*,Bike is the short form of the word bicycle. The man is on one in both sentences., A man in a *bicycle* is passing through a house with blue doors., A man is on a *bike.*,A man riding the bike very talently through  a house., A *man* in a bicycle is passing *through* *a* *house* with blue doors., A man is on a *bike.*,"['passing', 'through', 'house']","['man', 'on', 'a', 'bike.']",['bicycle'],['bike.'],"['man', 'through', 'a', 'house']",['bike.'],classification,2
8730,8730,2662890367.jpg#1r1e,entailment,A man is laying down on grass near trees and a hose.,A man is laying outside.,"If the man is laying down on grass, near trees, the man must be laying outside.", A man is laying down *on* *grass* near trees and a hose., A man is laying *outside.*,"If a man is laying down on grass, the man is outside.", A *man* is *laying* *down* on *grass* near trees and a hose., A man is laying *outside.*,"Grass implies outside, and laying down is a form of laying.", A man is *laying* *down* on *grass* near trees and a hose., A man is *laying* *outside.*,"['on', 'grass']",['outside.'],"['man', 'laying', 'down', 'grass']",['outside.'],"['laying', 'down', 'grass']","['laying', 'outside.']",classification,3
8742,8742,224998257.jpg#4r1e,entailment,Young women on a retreat.,There are women relaxing.,A retreat is a form of relaxing., Young women on *a* *retreat.*, There are women *relaxing.*,A retreat ist typically do relaxing., Young women on a *retreat.*, There are women *relaxing.*,"Generally, when on a retreat, you are relaxing.", Young women *on* *a* *retreat.*, There are women *relaxing.*,"['a', 'retreat.']",['relaxing.'],['retreat.'],['relaxing.'],"['on', 'a', 'retreat.']",['relaxing.'],classification,1
8774,8774,4731709586.jpg#3r1e,entailment,A clown making a balloon animal for a pretty lady.,A clown making balloon shapes for a lady.,A baloon animal is a shape., A clown making a *balloon* *animal* for a pretty lady., A clown making balloon *shapes* for a lady.,A balloon animal is a type of shape and a pretty lady is more specific than lady., A *clown* making a balloon *animal* for a *pretty* lady., A clown making balloon *shapes* for a lady.,"A balloon can be made into many shapes, with an animal being a certain type of shape.", A clown making a *balloon* *animal* for a pretty lady., A clown making *balloon* *shapes* for a lady.,"['balloon', 'animal']",['shapes'],"['clown', 'animal', 'pretty']",['shapes'],"['balloon', 'animal']","['balloon', 'shapes']",classification,"2,3"
8776,8776,254169701.jpg#2r1e,entailment,A girl is throwing a football on the beach.,A girl is playing with a football.,Throwing is a form of playing., A girl is *throwing* a football on the beach., A girl is *playing* with a football.,A girl is playing football on the beach., A *girl* is *throwing* a *football* on the *beach.*, A girl is *playing* with a *football.*,Throwing a football implies that you are playing with it., A girl is *throwing* *a* *football* on the beach., A girl is *playing* *with* *a* *football.*,['throwing'],['playing'],"['girl', 'throwing', 'football', 'beach.']","['playing', 'football.']","['throwing', 'a', 'football']","['playing', 'with', 'a', 'football.']",classification,1
8783,8783,218483471.jpg#1r1e,entailment,A black woman balancing a large platter on her head that has many bagged items on it.,A woman carrying things on her head.,Balancing is a form of carrying., A black woman *balancing* a large platter on her head that has many bagged items on it., A woman *carrying* things on her head.,"Balancing is a way of carrying things, like a large platter.", A black woman *balancing* *a* *large* *platter* on her head that has many bagged items on it., A woman *carrying* *things* on her head.,woman carrying things on head is a rephrase of woman balancing platter on head, A black woman *balancing* a large *platter* on her *head* that has many bagged items on it., A woman *carrying* *things* on her *head.*,['balancing'],['carrying'],"['balancing', 'a', 'large', 'platter']","['carrying', 'things']","['balancing', 'platter', 'head']","['carrying', 'things', 'head.']",classification,1
8818,8818,268948449.jpg#2r1n,entailment,"A man sitting at a desk, repairing antique typewriters.",a repair man works,"If a man is repairing antique typewriters,then he would be considered a repair man."," A *man* sitting at a desk, *repairing* *antique* *typewriters.*", *a* *repair* *man* works,"As the man is repairing antique typewriters, he is therefore a repair man working."," A *man* sitting at a desk, *repairing* antique typewriters.", a *repair* *man* *works*,"Repair man is a type of man, and repairing implies works."," A *man* sitting at a desk, *repairing* antique typewriters.", a *repair* *man* *works*,"['man', 'repairing', 'antique', 'typewriters.']","['a', 'repair', 'man']","['man', 'repairing']","['repair', 'man', 'works']","['man', 'repairing']","['repair', 'man', 'works']",classification,3
8841,8841,5869269064.jpg#3r1e,entailment,Young lady during a performance of modern dance.,The lady is dancing.,A performance of modern dance is a type of dancing., Young lady during a *performance* *of* *modern* *dance.*, The lady is *dancing.*,dancing is a performance which the young lady performed., Young lady during a *performance* of modern dance., The lady is *dancing.*,"If her performance is of modern dance, she is dancing.", Young lady during a *performance* of modern *dance.*, The lady is *dancing.*,"['performance', 'of', 'modern', 'dance.']",['dancing.'],['performance'],['dancing.'],"['performance', 'dance.']",['dancing.'],classification,1
